#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,id_board
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:38:12Z,101025.81,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:40:16Z,101020.23,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:42:20Z,101023.06,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:44:24Z,101017.16,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:46:29Z,101019.69,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:48:33Z,101013.42,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:50:37Z,101012.16,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:52:42Z,101018.58,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:54:46Z,101010.93,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:56:50Z,101014.23,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-18T23:58:55Z,101020.44,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:00:59Z,101014.53,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:03:03Z,101018.12,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:05:07Z,101013.84,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:07:12Z,101012.94,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:09:16Z,101020.16,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:11:20Z,101021.04,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:13:25Z,101022.29,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:15:29Z,101017.19,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:17:33Z,101018.94,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:19:38Z,101020.94,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:21:42Z,101016.2,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:23:46Z,101020.88,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:25:50Z,101023.84,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:27:55Z,101021.41,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:29:59Z,101018.06,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:32:03Z,101020.8,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:34:08Z,101018.42,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:36:12Z,101023.19,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:38:16Z,101020.49,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:40:20Z,101016.36,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:42:25Z,101014.05,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:44:29Z,101010.56,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:46:33Z,101010.75,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:48:38Z,101007.45,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:50:42Z,101005.02,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:52:46Z,101006.28,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:54:50Z,101006.58,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:56:55Z,101008.01,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T00:58:59Z,101006.52,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T01:01:03Z,101005.91,pressure,sensor_measurements,3750866944
,,4,1970-01-01T00:00:00Z,2026-06-20T07:46:02Z,2026-06-19T01:03:08Z,101002.3,pressure,sensor_measurements,3750866944
